1000 10000
385 888 0
917 795 8335
388 494 6649
423 364 27
692 61 7763
928 542 3426
174 738 5211
370 569 6429
784 532 2862
125 69 3135
931 804 4022
60 71 8167
395 458 5011
44 231 7373
423 921 3784
539 200 4324
317 372 6413
528 93 8980
958 875 6862
172 998 7281
307 927 7084
329 338 6505
848 731 1313
859 126 3895
584 547 8814
369 436 364
45 752 1087
810 278 7178
790 586 5403
653 756 2399
934 62 9676
370 741 12
228 588 8094
541 797 570
436 380 7467
603 99 2902
319 494 6652
758 303 280
288 443 3865
691 446 6619
442 731 8031
119 99 5771
483 677 709
929 569 7856
499 355 4586
967 308 4683
221 626 1528
873 734 8829
505 21 8270
370 710 6715
342 151 7796
725 620 2245
848 453 2921
557 381 7488
766 230 9841
352 195 1500
36 766 124
916 989 5856
745 493 2227
367 861 1936
434 553 6437
230 277 5407
476 123 8858
397 31 1237
237 795 5818
430 145 1011
930 531 8776
406 445 5763
615 540 8606
842 906 4818
130 690 7369
919 99 6996
326 745 9470
185 492 5499
774 727 5644
592 507 8139
956 788 7669
84 544 8464
199 509 9355
806 350 8611
624 830 9299
345 748 5568
342 424 3311
812 607 1801
663 732 4878
307 322 8736
446 628 8522
467 710 3416
284 260 2924
639 64 5624
602 38 3452
901 381 5550
470 73 973
133 883 4930
935 896 8660
165 201 7981
901 998 2959
775 815 9668
192 97 2926
468 86 1340
92 686 3376
544 938 9107
447 758 9179
420 889 9412
350 174 1659
11 338 5210
344 589 8206
303 715 7372
323 257 4819
601 723 9904
941 813 3940
669 707 6228
129 152 5984
660 922 9224
424 271 1396
83 632 84
294 974 7672
852 627 5385
224 301 6640
44 900 713
300 192 524
592 211 8581
821 338 7732
157 996 8004
381 771 5273
778 852 7255
862 144 5579
886 995 3205
623 569 2504
615 963 2754
328 261 8944
204 205 3506
786 23 2842
870 530 5189
874 910 9958
500 38 8808
755 250 3303
335 135 1648
892 756 7567
748 370 9529
502 48 3788
799 251 6990
305 35 5363
499 255 4892
688 127 1152
998 977 9188
159 731 5436
462 416 3921
462 306 28
29 52 6748
558 904 4794
699 701 1043
41 4 428
405 502 681
649 540 6159
153 537 2134
341 694 2215
129 506 5629
51 966 8285
431 345 6335
179 902 5238
973 951 289
369 990 2292
797 745 3144
831 392 1682
342 543 569
828 234 2261
44 362 9117
25 763 81
311 192 5425
998 369 4677
236 692 1626
526 59 9614
170 207 358
314 388 5100
348 728 4994
918 554 5578
531 948 2290
649 972 9051
82 633 8593
859 629 1312
888 216 8355
514 92 4412
481 612 8969
191 276 6355
643 622 5433
989 890 8338
568 772 7284
858 419 606
262 851 237
207 61 5217
520 947 783
875 460 873
639 291 483
609 480 2757
316 473 5729
102 461 3618
440 27 1388
76 235 8157
683 495 358
272 701 3417
841 571 8363
624 796 3173
849 433 7462
684 392 4292
793 59 5115
523 159 8574
493 949 2951
233 23 537
742 56 4030
100 327 1081
518 519 3002
233 141 1796
406 340 4580
220 23 3970
864 814 5379
979 687 1536
906 178 3483
209 761 4857
746 501 9911
129 952 5236
562 820 5105
565 51 1244
713 807 9934
293 377 8955
616 591 3768
995 920 2805
884 824 6982
719 32 3093
576 128 6593
488 255 543
76 816 4713
181 379 4762
777 90 2919
712 734 294
19 348 235
139 693 5153
945 575 6328
927 293 6710
20 219 6836
965 57 7090
860 132 4904
573 663 9633
687 791 3073
606 853 9805
252 870 6503
487 8 2195
641 951 1120
969 228 6763
679 598 3981
867 562 9036
957 772 3518
213 344 2532
198 381 7321
272 986 4172
429 236 2040
285 74 7398
832 65 347
952 32 573
716 61 7522
49 926 5082
437 234 9204
956 445 1898
488 642 4278
161 264 9262
685 43 9848
725 326 6272
124 156 7335
823 459 9365
749 173 1776
271 220 8701
705 655 9933
909 961 6728
808 799 8720
86 310 5334
700 993 6376
900 717 1052
173 191 1559
508 12 9016
226 111 6539
2 380 8109
55 83 9114
340 991 9426
69 149 5223
789 233 6532
124 283 3875
852 181 6590
256 352 1131
815 859 1494
183 83 4603
722 435 7982
183 489 9415
298 827 5404
724 894 551
299 34 9134
183 508 415
59 710 595
1000 964 2297
485 778 154
979 311 2587
934 384 5021
268 565 8860
684 213 7685
88 287 930
992 585 7314
478 118 5820
894 527 5528
841 527 7490
138 362 9618
645 339 928
584 623 4310
957 890 4225
817 572 3437
855 10 7722
785 352 8657
99 829 9126
271 73 6651
151 912 528
641 400 1888
612 395 8577
892 978 5199
554 933 6087
779 101 657
568 954 7017
643 737 9368
300 186 3195
778 807 5266
430 956 2528
310 595 7278
199 557 9672
776 447 5000
327 999 8283
414 129 8382
423 695 9334
441 336 8421
161 987 2957
356 763 8762
974 543 7716
854 852 3662
484 401 6217
156 175 9015
508 853 6364
792 265 2491
174 39 3537
861 830 871
282 989 5856
592 343 3970
354 667 5511
71 519 7361
85 353 4112
302 508 1638
669 366 1489
34 156 6104
877 681 6141
414 540 4969
638 172 1956
846 762 6649
816 467 4314
328 888 183
41 971 1535
154 623 4393
792 291 109
633 675 4264
737 550 4295
879 315 6833
200 951 9355
157 795 8468
158 962 2933
825 288 3171
360 679 140
247 183 2761
992 325 50
102 956 1075
366 44 5624
661 921 6289
846 471 1238
553 978 5383
21 135 6343
306 958 5981
477 668 8011
969 914 192
731 904 6868
133 4 3174
209 720 5216
185 379 5487
474 575 8957
64 127 3933
799 498 3418
143 155 1726
476 982 5393
487 950 2305
32 31 9559
900 162 4562
426 721 4280
643 904 3010
482 728 7583
791 142 3708
725 940 2557
495 433 710
222 907 7690
615 393 3638
272 423 7667
831 673 6180
745 97 3899
26 90 9154
388 571 8232
971 712 2373
32 435 9663
589 281 94
651 501 2351
341 466 1742
332 88 7515
351 917 186
883 13 5634
135 389 2722
289 775 9643
521 744 5354
246 126 139
261 65 7418
355 714 5269
707 406 2733
801 736 4819
317 437 1087
855 671 2450
489 804 6837
564 91 3610
207 962 6704
913 559 9829
405 818 1892
823 524 3605
445 581 5361
530 380 4447
702 47 4882
789 901 5551
591 388 353
428 950 4794
38 508 7107
94 419 9664
923 822 8480
168 996 6354
125 439 2933
486 319 6312
933 19 6709
167 158 1608
71 747 2995
424 173 6295
571 561 4801
678 654 6571
342 927 1743
174 93 4089
529 568 8878
814 52 5196
126 335 4213
188 501 3370
796 570 5115
143 344 2639
439 265 3198
592 941 6202
515 633 5128
259 806 4571
348 685 8138
227 497 7540
423 974 7226
636 160 5725
358 954 7645
474 448 3339
113 885 7603
663 827 7542
218 341 9174
346 598 7330
269 296 2013
759 521 8860
652 294 7832
878 281 1990
955 637 9295
600 109 2741
939 572 4976
542 586 801
85 802 9492
611 498 6440
941 765 5735
306 875 2606
166 525 2251
351 753 2530
341 706 3165
988 304 5625
81 593 2547
409 486 7131
563 921 1931
55 530 8427
496 821 7543
583 125 3768
189 641 4643
440 990 7394
322 682 4098
488 20 8752
465 100 4695
12 507 3179
144 68 8098
427 474 4978
855 968 4797
